Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
38,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Sophora chrysophylla,T,,,C3,Y,,2.06,0.461,0.521,-0.824,-0.764,1.83,0.89,2.12,,,,,,,
39,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Styphelia tameiameiae,S,E,,C3,N,,2.31,-0.086,0.227,-2.000,-1.687,,,,,,,,,,
40,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Vaccinium chalicinum,S,E,,C3,N,,1.73,0.299,0.027,-0.658,-0.930,1.98,0.71,2.12,,,,,,,
41,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Vaccinium reticulatum,S,E,,C3,N,,2.23,-0.051,0.178,-2.000,-1.771,,,,,,,,,,
42,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Carex kauaiensis,G,,,C3,N,,2.18,-0.013,0.162,-1.301,-1.126,,,,,,,,,,
43,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Dodonaea viscosa,S,E,B,C3,N,,2.16,0.146,0.307,-0.854,-0.693,,,,,,,,,,
44,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Dubautia scabra,S,E,,C3,N,,1.82,-0.092,-0.267,-1.523,-1.698,,,,,,,,,,
45,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.29,-0.066,0.224,-1.398,-1.108,1.69,0.98,2.62,,,,,,,
46,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Nephrolepsis sp,F,,,C3,N,,2.19,0.037,0.226,-0.886,-0.697,0.97,0.16,1.84,,,,,,,
47,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Dicranopteris linearis,F,,,C3,N,,1.92,0.037,-0.039,-1.398,-1.474,,,,,,,,,,
48,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Heteropogon contortus,G,,B,C4,N,,1.66,0.072,-0.273,-0.959,-1.303,,,,,,,,,,
49,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Meterosideros polymorpha gl,T,,,C3,N,,2.15,-0.066,0.086,-1.301,-1.149,,,,,,,,,,
50,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.25,-0.060,0.188,-1.222,-0.974,1.79,1.04,2.51,,,,,,,
51,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Myrsine sandwicensis,S,E,,C3,N,,1.66,0.021,-0.316,-1.301,-1.638,,,,,,,,,,
52,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Nephrolepsis sp,F,,,C3,N,,1.68,0.045,-0.275,-0.959,-1.279,,,,,,,,,,
53,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Pipturus albidus,T,,,C3,N,,1.79,0.204,-0.004,-1.097,-1.305,2.36,1.15,2.41,,,,,,,
54,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Psychotria sp,S,E,,C3,N,,1.85,0.117,-0.037,-1.097,-1.251,1.45,0.29,1.81,,,,,,,
57,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Brussaisia arguta,S,E,,C3,N,,1.86,0.127,-0.010,-1.000,-1.137,1.66,0.52,2.28,,,,,,,
58,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Cibotium glaucum,F,,,C3,N,,1.78,0.220,-0.001,-0.959,-1.180,,,,,,,,,,
59,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Clermontia montes-loa,S,E,,C3,N,,1.51,0.455,-0.036,-0.886,-1.377,1.67,0.18,2.33,,,,,,,
60,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Freycinetia arborea,H,,,C3,N,,1.78,0.281,0.066,-1.000,-1.215,1.59,0.37,,,,,,,,
61,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Ilex anomala,T,,,C3,N,,1.98,0.093,0.076,-1.398,-1.415,,,,,,,,,,
62,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Meterosideros polymorpha gl,T,,,C3,N,,2.04,0.045,0.084,-1.155,-1.116,1.48,0.52,2.51,,,,,,,
63,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,,2.31,-0.114,0.195,-1.699,-1.391,1.27,0.58,2.50,,,,,,,
64,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Peperomia sp,H,,,C3,N,,1.57,0.338,-0.091,-0.921,-1.350,,,,,,,,,,
65,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Comprosma ernodeoides,S,E,,C3,N,,1.91,-0.004,-0.099,-1.222,-1.317,,,,,,,,,,
66,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Comprosma ochracea,S,E,,C3,N,,1.60,0.243,-0.156,-1.155,-1.554,1.51,0.11,2.30,,,,,,,
67,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Dicranopteris linearis,F,,,C3,N,,2.04,-0.018,0.024,-1.301,-1.259,,,,,,,,,,
68,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Hedyotis centranthoides,S,E,,C3,N,,2.09,0.104,0.195,-1.398,-1.307,1.48,0.57,2.48,,,,,,,
69,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Machaerina mariscoides,G,,,C3,N,,2.35,-0.161,0.189,-1.699,-1.348,,,,,,,,,,
